"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000102693.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000064842.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000051951.5",0,NA,NA,NA,NA,NA
"ENSMUSG00000102851.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000103377.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000104017.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000103025.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000089699.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000103201.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000103147.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000103161.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000102331.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000102348.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000102592.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000088333.2",0,NA,NA,NA,NA,NA
"ENSMUSG00000102343.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000025900.12",0,NA,NA,NA,NA,NA
"ENSMUSG00000102948.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000104123.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000025902.13",0.251448018893424,-0.808910581802367,1.69028032336364,-0.478565934076926,0.632247457891603,0.984745990032404
"ENSMUSG00000104238.1",1.5647628729152,-0.567455478948777,0.816517378938742,-0.694970485118541,0.487073798419832,0.984745990032404
"ENSMUSG00000102269.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000096126.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000103003.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000104328.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000102735.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000098104.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000102175.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000088000.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000103265.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000103922.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000033845.13",0.401553695023055,-0.391129232313406,1.6196891653664,-0.241484132064887,0.809179913415474,0.984745990032404
"ENSMUSG00000102275.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000025903.14",0.22213240551281,-0.0875645076122393,2.00083433214647,-0.0437639969513624,0.965092525843412,0.984745990032404
"ENSMUSG00000104217.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000033813.15",0.18009766059227,0.994451637898347,2.07313050663222,0.479685979593164,0.631450698796258,0.984745990032404
"ENSMUSG00000062588.4",0,NA,NA,NA,NA,NA
"ENSMUSG00000103280.1",0.60974409949022,-1.23162570106348,1.13141283284066,-1.08857321157585,0.276342135316,0.984745990032404
"ENSMUSG00000002459.17",0.120894354602807,-0.0875597576436866,2.73088616978414,-0.0320627635865934,0.97442199848562,0.984745990032404
"ENSMUSG00000091305.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000102653.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000085623.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000091665.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000033793.12",0.0986712947682035,-0.0875586077788272,2.90583063116513,-0.0301320410211656,0.975961747286877,0.984745990032404
"ENSMUSG00000104352.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000104046.1",0.0809588300542249,-0.448226225659451,3.06038250977364,-0.146460850638113,0.883557593266078,0.984745990032404
"ENSMUSG00000102907.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000025905.14",0,NA,NA,NA,NA,NA
"ENSMUSG00000103936.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000093015.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000103519.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000033774.4",0,NA,NA,NA,NA,NA
"ENSMUSG00000103090.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000025907.14",0.218947512784202,-0.808910228397669,1.74478990402325,-0.463614688812922,0.642923828564276,0.984745990032404
"ENSMUSG00000090031.2",3.36150912636599,0.378242540983284,0.523509135995082,0.72251373467308,0.46997868416061,0.984745990032404
"ENSMUSG00000087247.3",0,NA,NA,NA,NA,NA
"ENSMUSG00000103355.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000102706.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000103845.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000033740.17",0,NA,NA,NA,NA,NA
"ENSMUSG00000103329.2",0,NA,NA,NA,NA,NA
"ENSMUSG00000104385.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000102135.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000103282.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000102534.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000102213.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000103629.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000051285.17",0.563585392019086,-0.031618592337146,1.22954463869294,-0.0257156929013639,0.979484106871194,0.986852437129275
"ENSMUSG00000098201.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000103509.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000048538.7",0,NA,NA,NA,NA,NA
"ENSMUSG00000103709.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000077244.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000102768.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000097797.6",0,NA,NA,NA,NA,NA
"ENSMUSG00000103498.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000103067.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000102320.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000104226.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000103903.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000103557.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000025909.16",0,NA,NA,NA,NA,NA
"ENSMUSG00000102647.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000086235.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000102253.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000093970.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000103884.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000084353.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000103933.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000076135.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000086195.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000104504.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000066693.2",0,NA,NA,NA,NA,NA
"ENSMUSG00000102316.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000103819.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000102871.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000101571.2",0,NA,NA,NA,NA,NA
"ENSMUSG00000104428.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000102272.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000065625.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000103411.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000061024.8",0.867726195031861,-0.905575801283821,1.09335924616339,-0.828250919779109,0.40752841197197,0.984745990032404
"ENSMUSG00000025911.14",2.58746177871189,-0.565559756683272,0.611741568068284,-0.924507645392087,0.35522207277081,0.984745990032404
"ENSMUSG00000079671.8",50.7352148981188,-0.0242507497332221,0.147903190444072,-0.163963668805321,0.869759744773065,0.984745990032404
"ENSMUSG00000081441.3",0,NA,NA,NA,NA,NA
"ENSMUSG00000067879.3",0.717399151337841,0.189784594129565,1.07581472903872,0.176410109479672,0.859971763000203,0.984745990032404
"ENSMUSG00000099827.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000025912.16",0,NA,NA,NA,NA,NA
"ENSMUSG00000045210.8",0,NA,NA,NA,NA,NA
"ENSMUSG00000097893.8",10.1853273614307,-0.207943270634765,0.300331717753579,-0.692378654476252,0.488699567096088,0.984745990032404
"ENSMUSG00000025915.14",0.06546129735879,0.273112849567121,3.06038250977364,0.0892414097567567,0.928890056417713,0.984745990032404
"ENSMUSG00000046334.4",0,NA,NA,NA,NA,NA
"ENSMUSG00000088916.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000046101.16",5.51289438695597,0.293557144808597,0.383686738802156,0.765095884536073,0.444214450330257,0.984745990032404
"ENSMUSG00000098234.7",0,NA,NA,NA,NA,NA
"ENSMUSG00000093178.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000099032.2",0,NA,NA,NA,NA,NA
"ENSMUSG00000104025.1",0.0520190347562848,0.273112849567121,3.06038250977364,0.0892414097567568,0.928890056417713,0.984745990032404
"ENSMUSG00000025916.10",0,NA,NA,NA,NA,NA
"ENSMUSG00000087199.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000095780.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000025917.9",0.496552435153759,1.25770413675286,1.3119396482024,0.958660056105584,0.337730027256709,0.984745990032404
"ENSMUSG00000056763.16",8.13150451053618,-0.317245953548787,0.344565631986368,-0.920712700567126,0.357200443544257,0.984745990032404
"ENSMUSG00000102356.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000067851.11",0.15602467190664,0.273109425571108,2.56713475673832,0.106386867636862,0.91527541205194,0.984745990032404
"ENSMUSG00000088153.1",0.495519451929731,-0.141279292661829,1.34290376771549,-0.105204331135483,0.916213674047697,0.984745990032404
"ENSMUSG00000102556.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000042501.12",0,NA,NA,NA,NA,NA
"ENSMUSG00000103810.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000083422.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000094979.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000081417.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000103448.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000100212.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000100648.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000088585.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000048960.13",0.047072268540001,0.273112849567121,3.06038250977364,0.0892414097567568,0.928890056417713,0.984745990032404
"ENSMUSG00000077318.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000101827.1",0.054915132568737,-0.448226225659451,3.06038250977364,-0.146460850638113,0.883557593266078,0.984745990032404
"ENSMUSG00000103494.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000057715.13",0,NA,NA,NA,NA,NA
"ENSMUSG00000103825.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000099845.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000103561.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000101610.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000093864.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000098555.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000097628.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000098163.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000097171.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000101314.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000016918.15",0.121103853059701,-0.808900569721643,2.72944951052386,-0.296360334420105,0.76695491394063,0.984745990032404
"ENSMUSG00000025938.16",0.193003225842306,0.273107895049199,2.03506344671055,0.134201169742716,0.893243500959669,0.984745990032404
"ENSMUSG00000104518.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000069620.6",0,NA,NA,NA,NA,NA
"ENSMUSG00000099498.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000042414.7",0,NA,NA,NA,NA,NA
"ENSMUSG00000005886.14",0.129564002258822,-0.0875601155077043,2.67410514613999,-0.0327437070431188,0.97387896938225,0.984745990032404
"ENSMUSG00000103506.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000103495.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000099183.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000102639.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000104170.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000087782.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000103085.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000102664.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000101476.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000101171.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000025935.10",0.210334056285633,0.633779556488966,2.41441487096458,0.262498199506105,0.792937373292652,0.984745990032404
"ENSMUSG00000025937.6",0,NA,NA,NA,NA,NA
"ENSMUSG00000102982.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000067813.3",0,NA,NA,NA,NA,NA
"ENSMUSG00000077368.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000097711.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000102166.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000089358.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000104209.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000025932.14",0.210972236837591,0.633779555554711,2.41211099043486,0.262748919128491,0.792744109056756,0.984745990032404
"ENSMUSG00000095853.1",0.145627918049735,-0.0875606817620791,2.58170937962442,-0.0339157778381768,0.97294431153087,0.984745990032404
"ENSMUSG00000102588.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000054493.2",0.890692250960496,-0.237933341016804,1.00259624408708,-0.237317207619758,0.812410713612427,0.984745990032404
"ENSMUSG00000025930.6",0.126329030765212,-0.808900958759455,2.69476341045014,-0.300175130633949,0.764043573752146,0.984745990032404
"ENSMUSG00000103492.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000081201.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000082193.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000032769.5",0,NA,NA,NA,NA,NA
"ENSMUSG00000088159.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000073737.3",0,NA,NA,NA,NA,NA
"ENSMUSG00000092083.4",0,NA,NA,NA,NA,NA
"ENSMUSG00000102937.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000104149.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000088829.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000077377.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000101652.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000100814.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000025925.14",0.119618476636864,-0.0875597013610266,2.73970924622203,-0.0319594867527525,0.974504359267935,0.984745990032404
"ENSMUSG00000104379.1",2.29201686048077,0.0776310083302114,0.556309257922539,0.139546497248875,0.889018315853506,0.984745990032404
"ENSMUSG00000032719.4",0.643438801045073,0.121693411614946,1.17360661355949,0.103691825019506,0.917413914372131,0.984745990032404
"ENSMUSG00000088943.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000100652.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000067795.13",0,NA,NA,NA,NA,NA
"ENSMUSG00000043716.13",0.370818458978249,-0.0875667103469841,1.47129344143431,-0.0595168223285346,0.952540466947403,0.984745990032404
"ENSMUSG00000025921.7",0,NA,NA,NA,NA,NA
"ENSMUSG00000104165.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000100868.1",0.461946811136101,1.20760397124658,1.29515845976812,0.932398628244133,0.351130553454,0.984745990032404
"ENSMUSG00000025920.19",0.155992239544427,-0.44823215133618,2.567291273733,-0.174593415216351,0.861399123009207,0.984745990032404
"ENSMUSG00000089982.7",0,NA,NA,NA,NA,NA
"ENSMUSG00000025939.18",0.0809588300542249,-0.448226225659451,3.06038250977364,-0.146460850638113,0.883557593266078,0.984745990032404
"ENSMUSG00000102457.1",4.74505470402845,-0.580925657306154,0.467213885192536,-1.24338268985041,0.213726845976578,0.984745990032404
"ENSMUSG00000079658.9",0.0520190347562848,0.273112849567121,3.06038250977364,0.0892414097567568,0.928890056417713,0.984745990032404
"ENSMUSG00000097744.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000100959.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000025940.6",0,NA,NA,NA,NA,NA
"ENSMUSG00000025779.10",0.047072268540001,0.273112849567121,3.06038250977364,0.0892414097567568,0.928890056417713,0.984745990032404
"ENSMUSG00000100093.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000091020.3",0,NA,NA,NA,NA,NA
"ENSMUSG00000101640.1",168.455224081903,-0.0411392062571383,0.121294748042621,-0.339167251022959,0.734483738516462,0.984745990032404
"ENSMUSG00000104133.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000042686.5",1.90290174707211,0.318047021130387,0.694815275309019,0.457743277145045,0.647136892027769,0.984745990032404
"ENSMUSG00000100110.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000025777.8",0,NA,NA,NA,NA,NA
"ENSMUSG00000099899.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000100272.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000100398.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000101589.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000102048.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000089534.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000067780.3",0,NA,NA,NA,NA,NA
"ENSMUSG00000100053.1",0.301000618287004,0.97384661721745,1.48400038961653,0.656230701845767,0.511675697534288,0.984745990032404
"ENSMUSG00000085125.7",0.929714517590865,0.185850310864806,0.964721898614929,0.192646514121464,0.84723581419424,0.984745990032404
"ENSMUSG00000025776.13",0.232877641957426,0.633779315331237,1.72019833765546,0.368433861059908,0.712549752946767,0.984745990032404
"ENSMUSG00000099895.1",0.0523328718080587,0.273112849567121,3.06038250977364,0.0892414097567567,0.928890056417713,0.984745990032404
"ENSMUSG00000100554.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000099473.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000099591.1",0.06546129735879,0.273112849567121,3.06038250977364,0.0892414097567567,0.928890056417713,0.984745990032404
"ENSMUSG00000109887.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000102001.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000101717.2",0,NA,NA,NA,NA,NA
"ENSMUSG00000025774.14",0,NA,NA,NA,NA,NA
"ENSMUSG00000070977.4",0,NA,NA,NA,NA,NA
"ENSMUSG00000073735.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000067773.6",0,NA,NA,NA,NA,NA
"ENSMUSG00000101685.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000101306.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000088800.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000101644.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000099433.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000089787.2",0,NA,NA,NA,NA,NA
"ENSMUSG00000042596.7",0,NA,NA,NA,NA,NA
"ENSMUSG00000100720.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000025927.13",0,NA,NA,NA,NA,NA
"ENSMUSG00000100538.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000101117.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000100204.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000084668.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000102597.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000043760.16",0,NA,NA,NA,NA,NA
"ENSMUSG00000104095.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000089914.2",0.0691172506656303,-0.448226225659451,3.06038250977364,-0.146460850638113,0.883557593266078,0.984745990032404
"ENSMUSG00000090142.2",0,NA,NA,NA,NA,NA
"ENSMUSG00000070175.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000099906.2",0,NA,NA,NA,NA,NA
"ENSMUSG00000065559.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000065480.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000025929.4",0,NA,NA,NA,NA,NA
"ENSMUSG00000041872.9",0,NA,NA,NA,NA,NA
"ENSMUSG00000041859.10",0,NA,NA,NA,NA,NA
"ENSMUSG00000099714.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000102121.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000088858.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000097934.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000025931.15",0,NA,NA,NA,NA,NA
"ENSMUSG00000077314.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000100929.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000041809.5",0.0692953283746045,0.273112849567121,3.06038250977364,0.0892414097567567,0.928890056417713,0.984745990032404
"ENSMUSG00000041779.5",0.231589464514426,-0.0875655295078951,1.72239010078235,-0.0508395452738149,0.959453379033617,0.984745990032404
"ENSMUSG00000099971.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000100819.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000025933.15",0.055823659753608,-0.448226225659451,3.06038250977364,-0.146460850638113,0.883557593266078,0.984745990032404
"ENSMUSG00000102633.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000025934.15",0.0523328718080587,0.273112849567121,3.06038250977364,0.0892414097567567,0.928890056417713,0.984745990032404
"ENSMUSG00000099343.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000096375.2",0,NA,NA,NA,NA,NA
"ENSMUSG00000025936.15",0,NA,NA,NA,NA,NA
"ENSMUSG00000093963.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000067750.3",0,NA,NA,NA,NA,NA
"ENSMUSG00000086194.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000094436.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000041722.7",0.0520190347562848,0.273112849567121,3.06038250977364,0.0892414097567568,0.928890056417713,0.984745990032404
"ENSMUSG00000085507.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000094926.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000085079.3",0,NA,NA,NA,NA,NA
"ENSMUSG00000085679.2",0,NA,NA,NA,NA,NA
"ENSMUSG00000028033.16",0.195652175037815,0.27310787626494,2.02766615594076,0.134690750479202,0.892856386595328,0.984745990032404
"ENSMUSG00000104138.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000082935.3",0,NA,NA,NA,NA,NA
"ENSMUSG00000103748.1",0.0691172506656303,-0.448226225659451,3.06038250977364,-0.146460850638113,0.883557593266078,0.984745990032404
"ENSMUSG00000099692.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000100418.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000041670.17",0,NA,NA,NA,NA,NA
"ENSMUSG00000097642.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000101468.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000101227.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000073730.2",0,NA,NA,NA,NA,NA
"ENSMUSG00000089553.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000102766.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000065405.3",0,NA,NA,NA,NA,NA
"ENSMUSG00000097970.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000065567.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000100775.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000101226.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000026158.11",0.047072268540001,0.273112849567121,3.06038250977364,0.0892414097567568,0.928890056417713,0.984745990032404
"ENSMUSG00000097920.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000099503.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000026156.8",89.7394810012686,-0.0395056981792055,0.114607860314783,-0.34470321730725,0.730317499161585,0.984745990032404
"ENSMUSG00000026155.13",0.150254158428829,-0.0875608264043962,2.55757291261467,-0.0342359062267674,0.972689034285508,0.984745990032404
"ENSMUSG00000026154.4",0.047072268540001,0.273112849567121,3.06038250977364,0.0892414097567568,0.928890056417713,0.984745990032404
"ENSMUSG00000102495.1",19.6029035522539,0.135918362228124,0.205135751111623,0.662577641837598,0.507601093495871,0.984745990032404
"ENSMUSG00000026153.15",0,NA,NA,NA,NA,NA
"ENSMUSG00000102398.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000097670.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000026147.16",0.0523328718080587,0.273112849567121,3.06038250977364,0.0892414097567567,0.928890056417713,0.984745990032404
"ENSMUSG00000026141.13",0.0515990262282025,-0.448226225659451,3.06038250977364,-0.146460850638113,0.883557593266078,0.984745990032404
"ENSMUSG00000077463.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000099997.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000100131.1",0.12254700681153,-0.0875598299340574,2.71951166946913,-0.0321968943605047,0.974315032838024,0.984745990032404
"ENSMUSG00000067736.2",0,NA,NA,NA,NA,NA
"ENSMUSG00000101939.1",0.586415102558089,2.1239477347291,1.23409501153116,1.721056899901,0.0852404992559084,0.984745990032404
"ENSMUSG00000101111.1",0.224210291424498,0.633779319704805,1.73526293480566,0.365235323703715,0.714935752409456,0.984745990032404
"ENSMUSG00000100862.1",0.107519020133192,0.633781184349561,2.83028932386781,0.223928055342218,0.822813284991825,0.984745990032404
"ENSMUSG00000102070.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000101249.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000073725.8",1.18990558660065,0.266680746571894,0.783650394546511,0.340305764442598,0.733626276549385,0.984745990032404
"ENSMUSG00000100808.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000100483.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000100450.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000099392.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000033569.17",0.0604467515931914,0.273112849567121,3.06038250977364,0.0892414097567568,0.928890056417713,0.984745990032404
"ENSMUSG00000080849.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000104257.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000096866.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000102296.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000103209.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000104027.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000102407.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000103214.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000104100.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000084740.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000103889.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000101301.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000104221.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000102250.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000102317.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000103563.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000102465.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000102659.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000103924.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000104132.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000102747.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000102386.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000103004.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000104516.1",0,NA,NA,NA,NA,NA
